date	NYC	SF
20010822	299000	285000
20021115	285000	285000
20100818	329900	285000
20000628	319000	299000
20020130	295000	300000
20020110	319000	319000
20110121	339900	320000
20021220	324000	324000
20030715	325000	325000
20110429	325000	325000
20011215	329000	329000
20010822	345000	330000
20011203	339000	339000
20100930	340000	340000
20010717	355000	342500
20010803	359000	345000
20011129	359000	345000
20011227	354000	348000
20010927	349000	349500
20000317	329000	350000
20010531	369000	350000
20010618	369000	350000
20010726	365000	350000
20011009	359000	350000
20140129	367594	350000
20010831	349000	354000
20000609	340000	355000
20010808	365000	355000
20040227	345000	355000
20000628	299000	360000
20030214	369000	360000
20030919	359000	363000
20010707	369000	365000
20011109	365000	365000
20020614	359000	366000
20030107	369000	366000
20020514	369000	369000
20001130	369950	370000
20010802	375000	370000
20030425	329000	370000
20011130	390000	372500
20010523	399000	375000
20010913	379000	375000
20011019	375000	375000
20010615	385000	377000
20010517	379000	379000
20010726	435000	380000
20010803	425000	380000
20101220	389900	380000
20010619	399000	385000
20010815	385000	385000
20020812	399000	385000
20030109	369000	385000
20030501	385000	385000
20111005	399000	386000
20010622	389000	389000
20010815	389000	389000
20020110	389000	389000
20020517	389000	389000
20020828	389000	389000
20040227	389000	389000
20040430	389000	389000
20101028	389900	389900
20120427	400000	390000
20010712	399000	391500
20010628	409000	392000
20010831	398000	392000
20030529	389000	392000
20011222	395000	395000
20020202	395000	395000
20030221	409000	400000
20030327	395000	400000
20040611	360000	400000
20090619	458713	400000
20010530	419000	401000
20040611	349000	401500
20020226	415000	403000
20010620	419000	403500
20010313	389000	405000
20020226	475000	405000
20030711	399000	405000
20031104	409000	405000
20100908	418900	405000
20030327	400000	406000
20030318	419000	408000
20010515	449000	409000
20030317	399000	409000
20030926	409000	409000
20030926	425000	409000
20031231	409000	409000
20000310	425000	410000
20000531	369000	410000
20020201	415000	410000
20020322	410000	410000
20020701	399000	410000
20101022	399000	412000
20030425	419000	415000
20030919	419000	415000
20031224	415000	415000
20040116	399000	415000
20111205	399000	415000
20030403	439000	418000
20031126	419500	418000
20020301	415000	419000
20020312	419000	419000
20030406	419000	419000
20030919	419000	419000
20040213	419000	419000
20040220	419000	419000
20030116	419000	420000
20030328	419000	420000
20030715	429000	420000
20040312	425000	420000
20110325	358000	420000
20041130	405000	422000
20030411	429000	423000
20030509	429000	424000
20030513	429000	424000
20010829	429000	425000
20021105	425000	425000
20030205	435000	425000
20030627	429000	425000
20031202	399000	425000
20040123	425000	425000
20120312	425000	425000
20030723	419000	427000
20030829	439000	427000
20000310	429000	429000
20021231	439000	429000
20030310	429000	429000
20031006	429000	429000
20040220	429000	429000
20040416	409000	429000
20110520	450000	430000
20121231	399000	433000
20030402	444000	434000
20030418	429000	434000
20020618	419000	435000
20020702	435000	435000
20030211	425000	435000
20030325	510000	435000
20030410	459000	435000
20031003	435000	435000
20031120	442000	438000
20000218	439000	439000
20020717	439000	439000
20031202	439000	439000
20040129	439000	439000
20040206	439000	439000
20040316	439000	439000
20000324	439200	439200
20010305	419000	440000
20010914	449000	440000
20030721	445000	440000
20110202	440000	440000
20111007	446000	440000
20021018	449000	441000
20021101	429000	441000
20030411	449000	443000
20020501	445000	444000
20020501	445000	445000
20030403	439000	445000
20040109	439000	445000
20040202	445000	445000
20040226	439000	445000
20120523	450000	445000
20020524	435000	446000
20021009	445000	447000
20030620	399000	448000
20000725	449000	449000
20010309	449000	449000
20030416	449000	449000
20040130	449000	449000
20040210	449000	449000
20091211	469000	449000
20000423	419000	450000
20010809	459000	450000
20030710	459000	450000
20030918	439000	450000
20031002	449000	450000
20031003	455000	450000
20040507	399000	450000
20000310	469000	455000
20010222	449000	455000
20020423	419000	455000
20010928	479000	455050
20090521	429000	458000
20120330	459000	458000
20010930	459000	459000
20040212	459000	459000
20040227	459000	459000
20040326	459000	459000
20110228	469000	459000
20030724	429000	460000
20040217	435000	460000
20040316	460000	460000
20091230	464900	460000
20120127	489000	460000
20120316	449000	460000
20020329	485000	462500
20030528	445000	464000
20011120	465000	465000
20090921	475000	465000
20091008	475000	465000
20091015	475000	465000
20100318	469000	466000
20000217	419000	467000
20000314	469000	469000
20010416	469000	469000
20020523	459000	469000
20021220	469000	469000
20031002	469000	469000
20040213	469000	469000
20040224	469000	469000
20040316	469000	469000
20040901	459000	469000
20120813	469000	469000
20020624	459000	470000
20110719	469000	470000
20020819	455000	472000
20040824	473000	473000
20000707	459000	475000
20020530	469000	475000
20020617	469000	475000
20020825	489000	475000
20030401	499000	475000
20030926	469000	475000
20040503	465000	475000
20040625	439000	475000
20090311	474900	475000
20090626	499000	475000
20101118	479000	475000
